title,abstract,authors,keywords,year,language
"Middle East Consensus Statement on the Prevention, Diagnosis, and Management of Cow’s Milk Protein Allergy | Middle East Consensus Statement on the Prevention, Diagnosis, and Management of Cow’s Milk Protein Allergy","Presented are guidelines for the prevention, diagnosis, and treatment of cow’s milk protein allergy (CMPA) which is the most common food allergy in infants. It manifests through a variety of symptoms that place a burden on both the infant and their caregivers. The guidelines were formulated by evaluation of existing evidence-based guidelines, literature evidence and expert clinical experience. The guidelines set out practical recommendations and include algorithms for the prevention and treatment of CMPA. For infants at risk of allergy, appropriate prevention diets are suggested. Breastfeeding is the best method for prevention; however, a partially hydrolyzed formula should be used in infants unable to be breastfed. In infants with suspected CMPA, guidelines are presented for the appropriate diag-nostic workup and subsequent appropriate elimination diet for treatment. Exclusive breastfeeding and maternal diet-ary allergen avoidance are the best treatment. In infants not exclusively breastfed, an extensively hydrolyzed formula should be used with amino acid formula recommended if the symptoms are life-threatening or do not resolve after extensively hydrolyzed formula. Adherence to these guidelines should assist healthcare practitioners in optimizing their approach to the management of CMPA and decrease the burden on infants and their caregivers. Presented are guidelines for the prevention, diagnosis, and treatment of cow’s milk protein allergy (CMPA) which is the most common food allergy in infants. It manifests through a variety of symptoms that place a burden on both the infant and their caregivers. The guidelines were formulated by evaluation of existing evidence-based guidelines, literature evidence and expert clinical experience. The guidelines set out practical recommendations and include algorithms for the prevention and treatment of CMPA. For infants at risk of allergy, appropriate prevention diets are suggested. Breastfeeding is the best method for prevention; however, a partially hydrolyzed formula should be used in infants unable to be breastfed. In infants with suspected CMPA, guidelines are presented for the appropriate diag-nostic workup and subsequent appropriate elimination diet for treatment. Exclusive breastfeeding and maternal diet-ary allergen avoidance are the best treatment. In infants not exclusively breastfed, an extensively hydrolyzed formula should be used with amino acid formula recommended if the symptoms are life-threatening or do not resolve after extensively hydrolyzed formula. Adherence to these guidelines should assist healthcare practitioners in optimizing their approach to the management of CMPA and decrease the burden on infants and their caregivers.","Yvan Vandenplas(Universitair Kinderziekenhuis Brussel, Vrije Universiteit Brussel); Ahmed Abuabat(Princess Nora Bint Abdulrahman University); Suleiman Al-Hammadi(United Arab Emirates University); Gamal Samy Aly(Ain Shams University); Mohamad S Miqdady(Sheikh Khalifa Medical City); Sanaa Youssef Shaaban(Ain Shams University); Paul-Henri Torbey(St. Joseph University)",소아과학,2014-06,영어
Is This Symptom Even a Food Allergy?: Clinical Types of Food Protein-induced Enterocolitis Syndrome | Is This Symptom Even a Food Allergy?: Clinical Types of Food Protein-induced Enterocolitis Syndrome,"Food protein-induced enterocolitis syndrome (FPIES) is an under-recognized non-IgE-mediated gastrointestinal food allergy. The diagnosis of FPIES is based on clinical history, sequential symptoms and the timing, after excluding other possible causes. It is definitively diagnosed by an oral food challenge test. Unfortunately, the diagnosis of FPIES is frequently delayed because of non-specific symptoms and insufficient definitive diagnostic biomarkers. FPIES is not well recognized by clinicians; the affected infants are often mismanaged as having viral gastroenteritis, food poisoning, sepsis, or a surgical disease. Familiarity with the clinical features of FPIES and awareness of the indexes of suspicion for FPIES are important to diagnose FPIES. Understanding the recently defined clinical terms and types of FPIES is mandatory to suspect and correctly diagnose FPIES. The aim of this review is to provide a case-driven presentation as a guide of how to recognize the clinical features of FPIES to improve diagnosis and management of patients with FPIES. Food protein-induced enterocolitis syndrome (FPIES) is an under-recognized non-IgE-mediated gastrointestinal food allergy. The diagnosis of FPIES is based on clinical history, sequential symptoms and the timing, after excluding other possible causes. It is definitively diagnosed by an oral food challenge test. Unfortunately, the diagnosis of FPIES is frequently delayed because of non-specific symptoms and insufficient definitive diagnostic biomarkers. FPIES is not well recognized by clinicians; the affected infants are often mismanaged as having viral gastroenteritis, food poisoning, sepsis, or a surgical disease. Familiarity with the clinical features of FPIES and awareness of the indexes of suspicion for FPIES are important to diagnose FPIES. Understanding the recently defined clinical terms and types of FPIES is mandatory to suspect and correctly diagnose FPIES. The aim of this review is to provide a case-driven presentation as a guide of how to recognize the clinical features of FPIES to improve diagnosis and management of patients with FPIES.",황진복(계명대학교),소아과학,2014-06,영어
Clostridium difficile in Children: To Treat or Not to Treat? | Clostridium difficile in Children: To Treat or Not to Treat?,"Clostridium difficile infection has been increasing since 2000 in children and in adults. Frequent antibiotics use, co-morbidity, and the development of hypervirulent strains have increased the risk of infection. Despite the high carriage rates of C. difficile, infants rarely develop clinical infection. Discontinuing antibiotics and supportive management usually leads to resolution of disease. Antibiotics use should be stratified depending on the patient’s age and severity of the disease. Clostridium difficile infection has been increasing since 2000 in children and in adults. Frequent antibiotics use, co-morbidity, and the development of hypervirulent strains have increased the risk of infection. Despite the high carriage rates of C. difficile, infants rarely develop clinical infection. Discontinuing antibiotics and supportive management usually leads to resolution of disease. Antibiotics use should be stratified depending on the patient’s age and severity of the disease.",심정옥(고려대학교),소아과학,2014-06,영어
Dyslipidemia in Children and Adolescents: When and How to Diagnose and Treat? | Dyslipidemia in Children and Adolescents: When and How to Diagnose and Treat?,"Recently, the incidence and prevalence of obesity and dyslipidemia are increasing. Dyslipidemia is associated with significant comorbidities and complications, and with cardiovascular risk factors (obesity, diabetes mellitus, hyper-tension and smoking). The main objectives of this article are that describe the prevalence of dyslipidemia in Korean children and adolescents and review the diagnosis and management of dyslipidemia in children and adolescents. Recently, the incidence and prevalence of obesity and dyslipidemia are increasing. Dyslipidemia is associated with significant comorbidities and complications, and with cardiovascular risk factors (obesity, diabetes mellitus, hyper-tension and smoking). The main objectives of this article are that describe the prevalence of dyslipidemia in Korean children and adolescents and review the diagnosis and management of dyslipidemia in children and adolescents.",윤정민(건양대학교),소아과학,2014-06,영어
Fundoplication in Neonates and Infants with Primary Gastroesophageal Reflux | Fundoplication in Neonates and Infants with Primary Gastroesophageal Reflux,"Purpose: Gastroesophageal reflux in infant is a physiological process. However, surgery is performed in high risk infants with severe gastroesophageal reflux disease (GERD) when medical management fails. This study focuses on efficacy and safety of Nissen fundoplication for GERD in infants under age 12 months.
Methods: This study was a retrospective case analysis of 11 neonates and infants under 12 months of age who underwent Nissen fundoplication following a failure of medical treatment between June 2010 and June 2013 at Pusan National University Children’s Hospital. The records were reviewed to determine the effect of fundoplication on symptoms and post-operative complications.
Results: A total of 11 infants consist of four males and seven females. Mean birth weight was 2,305.5±558.6 g (1,390-3,130 g). They had some underlying disease, which are not related with GERD such as congenital heart disease (54.5%), prematurity (45.5%), neurologic disease (18.2%), respiratory disease (18.2%), and other gastrointestinal disease. Mean body weight at surgery was 3,803.6±1,864.9 g (1,938.7-5,668.5 g). Mean age at operation was 99.9±107.6 days (17-276 days). Duration from operation to full enteral feeding was 10.9 days. Symptoms related GERD disappeared in all patients including one who got reoperation. One infant died of congenital heart disease unrelated to surgery. There were no complications related to fundoplication.
Conclusion: Fundoplication is effective and safe treatment in the neonates and infants with severe GERD. Purpose: Gastroesophageal reflux in infant is a physiological process. However, surgery is performed in high risk infants with severe gastroesophageal reflux disease (GERD) when medical management fails. This study focuses on efficacy and safety of Nissen fundoplication for GERD in infants under age 12 months.
Methods: This study was a retrospective case analysis of 11 neonates and infants under 12 months of age who underwent Nissen fundoplication following a failure of medical treatment between June 2010 and June 2013 at Pusan National University Children’s Hospital. The records were reviewed to determine the effect of fundoplication on symptoms and post-operative complications.
Results: A total of 11 infants consist of four males and seven females. Mean birth weight was 2,305.5±558.6 g (1,390-3,130 g). They had some underlying disease, which are not related with GERD such as congenital heart disease (54.5%), prematurity (45.5%), neurologic disease (18.2%), respiratory disease (18.2%), and other gastrointestinal disease. Mean body weight at surgery was 3,803.6±1,864.9 g (1,938.7-5,668.5 g). Mean age at operation was 99.9±107.6 days (17-276 days). Duration from operation to full enteral feeding was 10.9 days. Symptoms related GERD disappeared in all patients including one who got reoperation. One infant died of congenital heart disease unrelated to surgery. There were no complications related to fundoplication.
Conclusion: Fundoplication is effective and safe treatment in the neonates and infants with severe GERD.",유병근(부산대학교); 양해경(부산대학교); 이연주(부산대학교); 변신연(부산대학교); 김해영(부산대학교); 박재홍(부산대학교),소아과학,2014-06,영어
Acalculous Diffuse Gallbladder Wall Thickening in Children | Acalculous Diffuse Gallbladder Wall Thickening in Children,"Purpose: Gallbladder (GB) wall thickening can be found in various conditions unrelated to intrinsic GB disease. We investigated the predisposing etiologies and the outcome of acalculous GB wall thickening in children.
Methods: We retrospectively analyzed 67 children with acalculous GB wall thickening who had visited our institute from June 2010 to June 2013. GB wall thickening was defined as a GB wall diameter ＞3.5 mm on abdominal ultrasound examination or computed tomography. Underlying diseases associated with GB wall thickening, treatment, and outcomes were studied.
Results: There were 36 boys and 31 girls (mean age, 8.5±4.8 years [range, 7 months-16 years]). Systemic infection in 24 patients (35.8%), acute hepatitis in 18 (26.9%), systemic disease in 11 (16.4%), hemophagocytic lymphohistiocytosis in 4 (6.0%), acute pancreatitis in 3 (4.5%), and specific liver disease in 3 (4.5%) predisposed patients to GB wall thickening. Systemic infections were caused by bacteria in 10 patients (41.7%), viruses in 5 patients (20.8%), and fungi in 2 patients (8.3%). Systemic diseases observed were systemic lupus erythematosus in 2, drug-induced hypersensitivity in 2, congestive heart failure in 2, renal disorder in 2. Sixty-one patients (91.0%) received symptomatic treatments or treatment for underlying diseases. Five patients (7.5%) died from underlying diseases.
Cholecystectomy was performed in 3 patients during treatment of the underlying disease.
Conclusion: A wide range of extracholecystic conditions cause diffuse GB wall thickening that resolves spontaneously or with treatment of underlying diseases. Surgical treatments should be avoided if there are no definite clinical manifestations of cholecystitis. Purpose: Gallbladder (GB) wall thickening can be found in various conditions unrelated to intrinsic GB disease. We investigated the predisposing etiologies and the outcome of acalculous GB wall thickening in children.
Methods: We retrospectively analyzed 67 children with acalculous GB wall thickening who had visited our institute from June 2010 to June 2013. GB wall thickening was defined as a GB wall diameter ＞3.5 mm on abdominal ultrasound examination or computed tomography. Underlying diseases associated with GB wall thickening, treatment, and outcomes were studied.
Results: There were 36 boys and 31 girls (mean age, 8.5±4.8 years [range, 7 months-16 years]). Systemic infection in 24 patients (35.8%), acute hepatitis in 18 (26.9%), systemic disease in 11 (16.4%), hemophagocytic lymphohistiocytosis in 4 (6.0%), acute pancreatitis in 3 (4.5%), and specific liver disease in 3 (4.5%) predisposed patients to GB wall thickening. Systemic infections were caused by bacteria in 10 patients (41.7%), viruses in 5 patients (20.8%), and fungi in 2 patients (8.3%). Systemic diseases observed were systemic lupus erythematosus in 2, drug-induced hypersensitivity in 2, congestive heart failure in 2, renal disorder in 2. Sixty-one patients (91.0%) received symptomatic treatments or treatment for underlying diseases. Five patients (7.5%) died from underlying diseases.
Cholecystectomy was performed in 3 patients during treatment of the underlying disease.
Conclusion: A wide range of extracholecystic conditions cause diffuse GB wall thickening that resolves spontaneously or with treatment of underlying diseases. Surgical treatments should be avoided if there are no definite clinical manifestations of cholecystitis.",이지행(부산대학교); 노영은(부산대학교); 이연주(부산대학교); 황재연(부산대학교); 이준우(부산대학교); 박재홍(부산대학교),소아과학,2014-06,영어
Growth and Tolerance Assessment of a Lutein-fortified Infant Formula | Growth and Tolerance Assessment of a Lutein-fortified Infant Formula,"Purpose: To evaluate safety, gastrointestinal tolerance, and growth of a new experimental starter formula (NESF) fortified with lutein, prebiotics, probiotics, nucleotides and beta-carotene, fed to infants within the first months of life.
Methods: This was a non-randomized, open, uncontrolled study conducted from December 2010 to May 2011.
Twenty-three healthy infants aged 10 days to 2 months old were enrolled. Outcomes included gastrointestinal tolerance, physical growth and safety. Prior to the initiation of the trial, the Scientific Research Institute of Nutrition of the Russian Academy of Medical Sciences confirmed that the NESF met all safety and nutritional parameters.
Results: NESF was well tolerated. The majority of infants fed this formula passed semi-liquid, yellow or yellow-brown.
The mean stool frequency/day was 2.5±0.4 on study-day 14 and 1.8±0.5 on study-day 28. The mean daily weight gain was 30.9±3.8 grams and the mean length gain during the 28 days of follow up was 3.1±0.8 cm, corresponding to the average physical growth normally seen in the first months of life in Russian infants. Six children left the study: one refused to drink the formula, one left the study as parents changed residence; and one child’s parents have recalled their informed consent due to adverse event unrelated to the product. Three infants presented adverse events possibly related to the product (rash; colic and abdominal pain; constipation). Seventeen infants completed the trial.
Conclusion: This study demonstrated that lutein-fortified formula is safe, well-tolerated and supported physical growth of evaluated infants. Purpose: To evaluate safety, gastrointestinal tolerance, and growth of a new experimental starter formula (NESF) fortified with lutein, prebiotics, probiotics, nucleotides and beta-carotene, fed to infants within the first months of life.
Methods: This was a non-randomized, open, uncontrolled study conducted from December 2010 to May 2011.
Twenty-three healthy infants aged 10 days to 2 months old were enrolled. Outcomes included gastrointestinal tolerance, physical growth and safety. Prior to the initiation of the trial, the Scientific Research Institute of Nutrition of the Russian Academy of Medical Sciences confirmed that the NESF met all safety and nutritional parameters.
Results: NESF was well tolerated. The majority of infants fed this formula passed semi-liquid, yellow or yellow-brown.
The mean stool frequency/day was 2.5±0.4 on study-day 14 and 1.8±0.5 on study-day 28. The mean daily weight gain was 30.9±3.8 grams and the mean length gain during the 28 days of follow up was 3.1±0.8 cm, corresponding to the average physical growth normally seen in the first months of life in Russian infants. Six children left the study: one refused to drink the formula, one left the study as parents changed residence; and one child’s parents have recalled their informed consent due to adverse event unrelated to the product. Three infants presented adverse events possibly related to the product (rash; colic and abdominal pain; constipation). Seventeen infants completed the trial.
Conclusion: This study demonstrated that lutein-fortified formula is safe, well-tolerated and supported physical growth of evaluated infants.","Igor Ya. Kon(Scientific Research Institute of Nutrition of the Russian Academy of Medical Sciences); Maria V. Gmoshinskaya(Scientific Research Institute of Nutrition of the Russian Academy of Medical Sciences); Adilya I. Safronova(Scientific Research Institute of Nutrition of the Russian Academy of Medical Sciences); Pedro Alarcon(National Institute of Child Health); Yvan Vandenplas(Universitair Kinderziekenhuis Brussel, Vrije Universiteit Brussel)",소아과학,2014-06,영어
Duodenal Perforation: Unusual Complication of Gastrostomy Tube Replacement | Duodenal Perforation: Unusual Complication of Gastrostomy Tube Replacement,"Feeding gastrostomy is widely used for children with feeding impairment. The replacement of gastrostomy tube is known as an easy and safe procedure. However, various complications associated with replacement of gastrostomy tube were reported, including fistula disruption and colo-cutaneous fistula. For replacement of gastrostomy tube in small children with small stomach, special cautions are needed. Here, we report a rare case of duodenal perforation as an acute complication after the replacement of gastrostomy tube for a 33-month-old girl. Feeding gastrostomy is widely used for children with feeding impairment. The replacement of gastrostomy tube is known as an easy and safe procedure. However, various complications associated with replacement of gastrostomy tube were reported, including fistula disruption and colo-cutaneous fistula. For replacement of gastrostomy tube in small children with small stomach, special cautions are needed. Here, we report a rare case of duodenal perforation as an acute complication after the replacement of gastrostomy tube for a 33-month-old girl.",김수홍(부산대학교); 민사홍(서울대학교); 김현영(서울대학교); 정성은(서울대학교),소아과학,2014-06,영어
Two Cases of Infantile Intra-abdominal Inflammatory Myofibroblastic Tumor | Two Cases of Infantile Intra-abdominal Inflammatory Myofibroblastic Tumor,"Inflammatory myofibroblastic tumor (IMT) is rare mesenchymal solid tumor that consists of proliferating myofibro-blasts with an inflammatory infiltrate background. It has a very low prevalence in infants and occurs mainly in children and young adults. IMT are mainly located in the thoracic cavity, but intra-abdominal lesions are rare. IMT can exhibit locally aggressive neoplastic processes and metastases similar to malignancies, so, have clinical importance. Herein, we describe two infantile intra-abdominal IMT cases presenting with incidentally found palpable abdominal mass. A 4-month-old male infant had IMT at the ileal mesentery and a 5-month-old male infant had IMT at liver. Both cases were successfully treated by complete surgical resection without complication or recurrence. Considering the biological behavior of the intermediate type of neoplasm in IMT, we expect good survivals when achieving appro-priate surgical resection without adjuvant therapy in infantile intra-abdominal IMT. Inflammatory myofibroblastic tumor (IMT) is rare mesenchymal solid tumor that consists of proliferating myofibro-blasts with an inflammatory infiltrate background. It has a very low prevalence in infants and occurs mainly in children and young adults. IMT are mainly located in the thoracic cavity, but intra-abdominal lesions are rare. IMT can exhibit locally aggressive neoplastic processes and metastases similar to malignancies, so, have clinical importance. Herein, we describe two infantile intra-abdominal IMT cases presenting with incidentally found palpable abdominal mass. A 4-month-old male infant had IMT at the ileal mesentery and a 5-month-old male infant had IMT at liver. Both cases were successfully treated by complete surgical resection without complication or recurrence. Considering the biological behavior of the intermediate type of neoplasm in IMT, we expect good survivals when achieving appro-priate surgical resection without adjuvant therapy in infantile intra-abdominal IMT.",김수홍(부산대학교); 조용훈(부산대학교); 김해영(부산대학교),소아과학,2014-06,영어
Omega-3 Polyunsaturated Fatty Acid for Cholestasis due to BileDuct Paucity | Omega-3 Polyunsaturated Fatty Acid for Cholestasis due to BileDuct Paucity,"Omega (ω)-3 polyunsaturated fatty acids appear to be effective in preventing and treating parenteral nu-trition-associated liver disease, and several mechanisms were proposed for this observation. An 8-week-old male infant with cholestasis and acholic stool was diagnosed non-syndromic intrahepatic interlobular bile duct paucity by open-wedge liver biopsy. Initially he was treated with usual supportive medical therapy, including ursodeoxycholic acid. However, the clinical status and laboratory tests did not improve. Omega (ω)-3 polyunsaturated fatty acids (initially intravenous administration and oral administration later), were started and his liver function, including amino-transferase level and bilirubin levels normalized, and the ivory stool color turned green. We report the possible effec-tiveness of ω-3 polyunsaturated fatty acids as a potent choleretic agent for non-syndromic intrahepatic interlobular bile duct paucity, a very rare structural pediatric hepatic disease. Omega (ω)-3 polyunsaturated fatty acids appear to be effective in preventing and treating parenteral nu-trition-associated liver disease, and several mechanisms were proposed for this observation. An 8-week-old male infant with cholestasis and acholic stool was diagnosed non-syndromic intrahepatic interlobular bile duct paucity by open-wedge liver biopsy. Initially he was treated with usual supportive medical therapy, including ursodeoxycholic acid. However, the clinical status and laboratory tests did not improve. Omega (ω)-3 polyunsaturated fatty acids (initially intravenous administration and oral administration later), were started and his liver function, including amino-transferase level and bilirubin levels normalized, and the ivory stool color turned green. We report the possible effec-tiveness of ω-3 polyunsaturated fatty acids as a potent choleretic agent for non-syndromic intrahepatic interlobular bile duct paucity, a very rare structural pediatric hepatic disease.",배선환(건국대학교); 박희선(건국대학교); 한혜승(건국대학교); 윤익진(건국대학교),소아과학,2014-06,영어
