id,title,year,tier,software_detected,method_candidates_sw,method_candidates_kw,datatype_candidates,taxon_candidates,context_candidates,ResearchTask_labels,Method_labels,Software_labels,Taxon_labels,DataType_labels,Context_labels,Assumption_labels
https://openalex.org/W3096733662,Contrasting signatures of genomic divergence during sympatric speciation,2020,tier1,,,Maximum Likelihood,Whole Genome Sequence,Teleost Fish,,Speciation|Gene Flow Analysis,Maximum Likelihood,,Teleost Fish,Whole Genome Sequence,,Gene Flow Allowed
https://openalex.org/W3150028644,Molluscan mitochondrial genomes break the rules,2021,tier1,,,,mtDNA,Invertebrates|Vertebrates,,Phylogeny Inference,,,Invertebrates|Vertebrates,mtDNA,,
https://openalex.org/W3157220246,Genomic insights into the conservation status of the world’s last remaining Sumatran rhinoceros populations,2021,tier2,,,,,,,,,,,,,Gene Flow Allowed
https://openalex.org/W3007358977,The persimmon genome reveals clues to the evolution of a lineage-specific sex determination system in plants,2020,tier1,,,,Whole Genome Sequence,Angiosperms|Plants,,,,,Angiosperms|Plants,Whole Genome Sequence,,
https://openalex.org/W3094526233,Taxonomy and Phylogenetic Research on Ralstonia solanacearum Species Complex: A Complex Pathogen with Extraordinary Economic Consequences,2020,tier2,,,,Occurrence / Distribution Records,,,Phylogeny Inference,,,,Occurrence / Distribution Records,,
https://openalex.org/W4281383093,Analysis of 6.4 million SARS-CoV-2 genomes identifies mutations associated with fitness,2022,tier2,,,Bayesian Inference,,,,Adaptation Inference,Bayesian Inference,,,,,
https://openalex.org/W3206764122,Diversity and ecology of protists revealed by metabarcoding,2021,tier1,,,,Ecological / Environmental Variables,,,Population Structure Analysis,,,,Ecological / Environmental Variables,,
https://openalex.org/W3113917743,Strongly deleterious mutations are a primary determinant of extinction risk due to inbreeding depression,2020,tier2,,,Simulation-based Inference,,Plants,Fragmented Habitat|Mainland Systems,,Simulation-based Inference,,Plants,,Fragmented Habitat|Mainland Systems,
https://openalex.org/W3010826188,Horizontal transfer and evolution of transposable elements in vertebrates,2020,tier1,,,dN/dS Analysis,,Aves|Mammalia|Teleost Fish|Vertebrates,,Trait Evolution Analysis,dN/dS Analysis,,Aves|Mammalia|Teleost Fish|Vertebrates,,,Selection Model
https://openalex.org/W3014405512,Multiple chromosomal inversions contribute to adaptive divergence of a dune sunflower ecotype,2020,tier1,STRUCTURE,,,Behavioral Data|Ecological / Environmental Variables|SNP Genotype Data,,Island Systems,Adaptation Inference|Gene Flow Analysis,,STRUCTURE,,Ecological / Environmental Variables|SNP Genotype Data,Island Systems,Gene Flow Allowed
https://openalex.org/W4306411852,Chromosomal inversion polymorphisms shape the genomic landscape of deer mice,2022,tier1,STRUCTURE,,,Morphometric Data|Occurrence / Distribution Records|SNP Genotype Data,Mammalia|Model Organisms|Mouse,,Adaptation Inference,,STRUCTURE,Mammalia|Model Organisms|Mouse,SNP Genotype Data|Morphometric Data|Occurrence / Distribution Records,,
https://openalex.org/W2999294700,Comparative Analyses of Vertebrate Gut Microbiomes Reveal Convergence between Birds and Bats,2020,tier2,,,,,Aves|Mammalia|Vertebrates,,Comparative Methods,,,Aves|Mammalia|Vertebrates,,,
https://openalex.org/W3035786310,Rampant C→U Hypermutation in the Genomes of SARS-CoV-2 and Other Coronaviruses: Causes and Consequences for Their Short- and Long-Term Evolutionary Trajectories,2020,tier2,,,,,,,Adaptation Inference,,,,,,
https://openalex.org/W3006426838,Reconstructing the evolutionary history of nitrogenases: Evidence for ancestral molybdenum‐cofactor utilization,2020,tier2,,,,,,Marine Environment,Phylogeny Inference|Trait Evolution Analysis,,,,,Marine Environment,
https://openalex.org/W3005383663,The Multispecies Coalescent Model Outperforms Concatenation Across Diverse Phylogenomic Data Sets,2020,tier1,,,Bayesian Inference|Coalescent-based Model|Simulation-based Inference,Nuclear Gene Sequences,Aves|Insects|Invertebrates|Mammalia|Reptilia|Teleost Fish,,Phylogeny Inference,Bayesian Inference|Coalescent-based Model|Simulation-based Inference,,Aves|Mammalia|Teleost Fish|Insects|Reptilia|Invertebrates,Nuclear Gene Sequences,,Incomplete Lineage Sorting Considered
